name,county,rank,latitude,longitude,is_duplicate_name
NAIROBI CITY,NAIROBI CITY,1,-1.2920659,36.8219462,False
MOMBASA,MOMBASA,2,-4.0434771,39.6682065,False
NAKURU,NAKURU,3,-0.3030988,36.080026,False
RUIRU,KIAMBU,4,-1.1483781,36.9605781,False
ELDORET,UASIN GISHU,5,0.5142774999999999,35.2697802,False
KISUMU,KISUMU,6,-0.0917016,34.7679568,False
KIKUYU,KIAMBU,7,-1.2550372,36.6930506,False
THIKA,MURANG'A/KIAMBU,8,-1.0387569,37.0833753,False
NAIVASHA,NAKURU,9,-0.7193636999999999,36.433021,False
KARURI,KIAMBU,10,-1.1817385,36.75770869999999,False
ONGATA RONGAI,KAJIADO,11,-1.3938636,36.7442377,False
GARISSA,TANA RIVER/GARISSA,12,-0.4532293,39.6460988,False
KITALE,TRANS NZOIA,13,1.019089,35.0023048,False
JUJA,KIAMBU,14,-1.1018224,37.0144027,False
KITENGELA,KAJIADO,15,-1.4786822,36.9576765,False
KIAMBU,KIAMBU,16,-1.1749722,36.8342727,False
MLOLONGO,MACHAKOS,17,-1.3887197,36.9384886,False
MALINDI,KILIFI,18,-3.2065795,40.0985648,False
MANDERA,MANDERA,19,3.935638899999999,41.8551162,False
KISII,NYAMIRA/KISII,20,-0.677334,34.779603,False
KAKAMEGA,KAKAMEGA,21,0.2828574,34.7519588,False
NGONG,KAJIADO,22,-1.3567647,36.6728112,False
MTWAPA,KILIFI,23,-3.9455956,39.7452844,False
WAJIR,WAJIR,24,1.7488388,40.058633,False
LODWAR,TURKANA,25,3.1155165,35.6040785,False
LIMURU,KIAMBU,26,-1.108502,36.6421332,False
ATHI RIVER,MACHAKOS,27,-1.4577245,36.9785033,False
MERU,MERU,28,0.0509239,37.6459532,False
NYERI,NYERI,29,-0.4372992,36.9582393,False
ISIOLO,ISIOLO,30,0.355636,37.5833061,False
UKUNDA,KWALE,31,-4.2879181,39.565308,False
KISERIAN,KAJIADO,32,-1.4251869,36.6936512,False
KILIFI,KILIFI,33,-3.622383199999999,39.8484317,False
NANYUKI,NYERI/LAIKIPIA,34,0.007441499999999999,37.0722303,False
BUSIA,BUSIA,35,0.4611106,34.1102266,False
MIGORI,MIGORI,36,-1.0706976,34.4752715,False
BUNGOMA,BUNGOMA,37,0.5695252,34.5583766,False
NAROK,NAROK,38,-1.0914143,35.870832,False
EMBU,EMBU,39,-0.5388381,37.4596409,False
MACHAKOS,MACHAKOS,40,-1.5198713,37.2671594,False
EL WAK,MANDERA,42,2.8070021,40.9283904,False
GILGIL,NAKURU,43,-0.4990266,36.3225646,False
KIMILILI,BUNGOMA,44,0.7826812999999999,34.7202041,False
KERICHO,KERICHO,45,-0.3688967,35.286286,False
VOI,TAITA/TAVETA,46,-3.3973104,38.5559336,False
WANGURU,KIRINYAGA,47,-0.68491,37.35399049999999,False
HABASWEIN,WAJIR,48,1.0168475,39.4929916,False
TURI,NAKURU,49,-0.2965611,35.7516069,False
MOYALE,MARSABIT,50,3.5210916,39.0546262,False
HOMA BAY,HOMA BAY,51,-0.5375899,34.4562264,False
KENOL,MURANG'A,52,-1.3690902,37.2256372,False
MASALANI,GARISSA,53,-1.6974195,40.12287269999999,False
MURANG'A,MURANG'A,54,-0.7839281,37.0400339,False
WEBUYE,BUNGOMA,55,0.5992059,34.779603,False
NJORO,NAKURU,56,-0.3742692,35.9448709,False
KAPSABET,NANDI,57,0.202957,35.0978385,False
MUMIAS,KAKAMEGA,58,0.3332218,34.4877423,False
NYAHURURU,LAIKIPIA,59,0.0351644,36.3642919,False
MARSABIT,MARSABIT,60,2.3321722,37.9894209,False
RHAMU,MANDERA,61,3.9324851,41.21986950000001,False
SIAYA,SIAYA,62,0.0626293,34.2878084,False
MARIAKANI,KWALE/KILIFI,63,-3.8634574,39.4737607,False
MARALAL,SAMBURU,64,1.0940126,36.7012173,False
MAIRO INYA,NYANDARUA,65,0.0037523,36.4202014,False
KERUGOYA,KIRINYAGA,66,-0.4993281,37.2784835,False
KITUI,KITUI,67,-1.3750813,37.9952144,False
MAKUTANO,WEST POKOT,68,1.2544328,35.0911142,True
ELBURGON,NAKURU,69,-0.2982766,35.8034503,False
WATAMU,KILIFI,70,-3.3540097,40.0139483,False
LAMU,LAMU,71,-2.2695575,40.9006408,False
KAJIADO,KAJIADO,72,-1.8420731,36.7918599,False
NYAMIRA,NYAMIRA,73,-0.5669405,34.9341234,False
ISEBANIA,MIGORI,74,-1.2448469,34.4766572,False
KARATINA,NYERI,75,-0.4831579999999999,37.1273549,False
KAKUMA,TURKANA,76,3.7090661,34.8624838,False
LAFEY,MANDERA,77,3.1536609,41.1854057,False
BONDO,SIAYA,78,-0.0998459,34.2742458,False
KABARNET,BARINGO,79,0.490107,35.743418,False
CHUKA,THARAKA-NITHI,80,-0.322865,37.6546274,False
KEHANCHA,MIGORI,81,-1.1939843,34.6165033,False
MAUA,MERU,82,0.2325548,37.9413748,False
TAVETA,TAITA/TAVETA,83,-3.3997859,37.6732489,False
TAKABA,MANDERA,84,3.4233267,40.2271243,False
ELDAMA RAVINE,BARINGO,85,0.053037,35.729768,False
HOLA,TANA RIVER,86,-1.4992288,40.0343255,False
MAI MAHIU,NAKURU,87,-0.9823710999999999,36.5856605,False
RONGO,MIGORI,88,-0.7578667,34.6030668,False
OYUGIS,HOMA BAY,89,-0.5078963,34.73816619999999,False
WOTE,MAKUENI,90,-1.788625,37.63333960000001,False
EMALI,MAKUENI/KAJIADO,91,-2.079689,37.4731352,False
GAR-BATULA,ISIOLO,92,0.5337033,38.5112693,False
MBALE,VIHIGA,93,-3.376823,38.3903087,False
MWINGI,KITUI,94,-0.9374110000000001,38.0605006,False
AWENDO,MIGORI,95,-0.9057417999999999,34.532413,False
KIMININI,TRANS NZOIA,96,0.8935153,34.9258526,False
MOI'S BRIDGE,UASIN GISHU,97,0.8766986,35.1200016,False
MAZERAS,KWALE/KILIFI,98,-3.9613902,39.5480148,False
MALABA,BUSIA,99,0.6352161,34.2811403,False
MAKINDU,MAKUENI,100,-2.2777039,37.8246955,False
BANISA,MANDERA,101,3.9418675,40.3453654,False
MSAMBWENI,KWALE,102,-4.477898199999999,39.4822613,False
NAMANGA,KAJIADO,103,-2.553086,36.7832131,False
MBITA,HOMA BAY,104,-0.4326692,34.209363,False
ISINYA,KAJIADO,105,-1.6727148,36.8425202,False
BUTE,WAJIR,106,3.3668673,39.44502809999999,False
KAWAIDA,KIAMBU,107,-1.1423225,36.75385800000001,False
KAGIO,KIRINYAGA,108,-0.62515,37.2530686,False
BURA,TANA RIVER,109,-1.0949895,39.9411014,False
SUNEKA,KISII,110,-0.6787595,34.70769,False
LITEIN,KERICHO,111,-0.5812792,35.1908817,False
MOGOTIO,NAKURU/BARINGO,112,-0.0207658,35.9560546,False
LUANDA,VIHIGA,113,0.0240007,34.5874448,False
OL KALOU,NYANDARUA,114,-0.272699,36.3775152,False
RUMURUTI,LAIKIPIA,115,0.2698313,36.5409834,False
LOKICHAR,TURKANA,116,2.383763,35.6478189,False
CHAVAKALI,VIHIGA,117,0.1166116,34.731949,False
ITEN,ELGEYO/MARAKWET,118,0.6702505,35.5074714,False
MAKUTANO (KYUMBI),MACHAKOS,119,-1.5360345,37.1320662,False
ELDAS,WAJIR,120,2.4917293,39.5664273,False
PORT VICTORIA,BUSIA,121,0.0960848,33.9781371,False
VIPINGO,KILIFI,122,-3.820195899999999,39.7858575,False
