name,rank,latitude,longitude,is_duplicate_name
NAIROBI CITY,1,-1.2920659,36.8219462,False
MOMBASA,2,-4.0434771,39.6682065,False
NAKURU,3,-0.3030988,36.080026,False
RUIRU,4,-1.1483781,36.9605781,False
ELDORET,5,0.5142774999999999,35.2697802,False
KISUMU,6,-0.0917016,34.7679568,False
KIKUYU,7,-1.2550372,36.6930506,False
THIKA,8,-1.0387569,37.0833753,False
NAIVASHA,9,-0.7193636999999999,36.433021,False
KARURI,10,-1.1817385,36.75770869999999,False
ONGATA RONGAI,11,-1.3938636,36.7442377,False
GARISSA,12,-0.4532293,39.6460988,False
KITALE,13,1.019089,35.0023048,False
JUJA,14,-1.1018224,37.0144027,False
KITENGELA,15,-1.4786822,36.9576765,False
KIAMBU,16,-1.1749722,36.8342727,False
MLOLONGO,17,-1.3887197,36.9384886,False
MALINDI,18,-3.2065795,40.0985648,False
MANDERA,19,3.935638899999999,41.8551162,False
KISII,20,-0.677334,34.779603,False
KAKAMEGA,21,0.2828574,34.7519588,False
NGONG,22,-1.3567647,36.6728112,False
MTWAPA,23,-3.9455956,39.7452844,False
WAJIR,24,1.7488388,40.058633,False
LODWAR,25,3.1155165,35.6040785,False
LIMURU,26,-1.108502,36.6421332,False
ATHI RIVER,27,-1.4577245,36.9785033,False
MERU,28,0.0509239,37.6459532,False
NYERI,29,-0.4372992,36.9582393,False
ISIOLO,30,0.355636,37.5833061,False
UKUNDA,31,-4.2879181,39.565308,False
KISERIAN,32,-1.4251869,36.6936512,False
KILIFI,33,-3.622383199999999,39.8484317,False
NANYUKI,34,0.007441499999999999,37.0722303,False
BUSIA,35,0.4611106,34.1102266,False
MIGORI,36,-1.0706976,34.4752715,False
BUNGOMA,37,0.5695252,34.5583766,False
NAROK,38,-1.0914143,35.870832,False
EMBU,39,-0.5388381,37.4596409,False
MACHAKOS,40,-1.5198713,37.2671594,False
GITHUNGURI,41,-1.0566569,36.778542,True
EL WAK,42,2.8070021,40.9283904,False
GILGIL,43,-0.4990266,36.3225646,False
KIMILILI,44,0.7826812999999999,34.7202041,False
KERICHO,45,-0.3688967,35.286286,False
VOI,46,-3.3973104,38.5559336,False
WANGURU,47,-0.68491,37.35399049999999,False
HABASWEIN,48,1.0168475,39.4929916,False
TURI,49,-0.2965611,35.7516069,False
MOYALE,50,3.5210916,39.0546262,False
HOMA BAY,51,-0.5375899,34.4562264,False
KENOL,52,-1.3690902,37.2256372,False
MASALANI,53,-1.6974195,40.12287269999999,False
MURANG'A,54,-0.7839281,37.0400339,False
WEBUYE,55,0.5992059,34.779603,False
NJORO,56,-0.3742692,35.9448709,False
KAPSABET,57,0.202957,35.0978385,False
MUMIAS,58,0.3332218,34.4877423,False
NYAHURURU,59,0.0351644,36.3642919,False
MARSABIT,60,2.3321722,37.9894209,False
RHAMU,61,3.9324851,41.21986950000001,False
SIAYA,62,0.0626293,34.2878084,False
MARIAKANI,63,-3.8634574,39.4737607,False
MARALAL,64,1.0940126,36.7012173,False
